Tue Jul 15 13:23:18 2025 : heaters.c : run_heaters_thread : Attempting to connect to LabJack T7 at 172.20.3.16
Tue Jul 15 13:23:18 2025 : heaters.c : init_socket_heaters : UDP socket initialized successfully
Tue Jul 15 13:23:20 2025 : heaters.c : open_labjack : Error opening LabJack: LJME_DEVICE_NOT_FOUND
Tue Jul 15 13:23:20 2025 : heaters.c : run_heaters_thread : WARNING: Failed to connect to LabJack T7 at 172.20.3.16. Running UDP server only (no heater control).
Tue Jul 15 13:23:20 2025 : heaters.c : run_heaters_thread : LabJack not connected - heater control disabled, UDP server only
Tue Jul 15 13:23:20 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:23:30 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:23:40 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:23:50 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:24:00 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:24:10 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:24:20 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:24:30 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:24:40 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:24:50 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:25:00 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:25:10 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:25:20 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:25:30 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
