Timestamp,Temperature(°C),Status,FET_Temp(°C),Current(A),Voltage(V),Power(W)
2025-07-14 12:29:52,0.00,HEATING,0.00,0.000,11.72,0.00
2025-07-14 12:29:53,22.53,HEATING,25.92,2.772,11.72,32.49
2025-07-14 12:29:55,22.54,HEATING,26.03,2.772,11.72,32.49
2025-07-14 12:29:56,22.55,HEATING,26.03,2.772,11.72,32.49
2025-07-14 12:29:58,22.56,HEATING,26.03,2.772,11.72,32.49
2025-07-14 12:29:59,22.58,HEATING,26.03,2.772,11.72,32.49
2025-07-14 12:30:00,22.60,HEATING,26.03,2.772,11.72,32.49
2025-07-14 12:30:02,22.61,HEATING,26.03,2.772,11.72,32.49
2025-07-14 12:30:03,22.63,HEATING,26.03,2.772,11.72,32.49
